X,Y,PROFONDEUR
2503489.36,1134148.04,250
2503487.15,1134139.72,250
2496957.32,1115215.01,120
2496964.55,1115218.97,120
2502076.81,1126092.65,137
2502083.28,1126093.69,137
2500366.95,1122031.3,130
2495171.14,1119198.44,100
2495176.99,1119194.18,100
2503809.39,1115491.11,140
2503818.18,1115495.02,140
2506248,1119333.25,120
2506256.34,1119330.83,90
2506268.06,1119327.36,120
2506158.31,1125857.84,160
2506164.09,1125859.48,160
2489895.86,1116230.11,120
2498661.25,1121633.76,140
2498640.45,1121310.98,215
2498633.8,1121294.23,215
2498638.06,1121299.76,215
2498642.27,1121305.19,215
2498625.88,1121300.32,215
2498622.63,1121306.98,215
2505392.6,1118408.95,165
2505396.93,1118406.34,165
2505291.91,1121178.84,90
2505293.38,1121177.5,90
2496850.47,1115118.24,150
2496856.42,1115119.05,150
2489885.79,1116300.97,160
2499134.58,1119148.44,150
2499140.6,1119134.7,150
2499139.18,1119144.67,150
2499147.74,1119144.63,150
2499144.17,1119149.17,150
2499154.9,1119154.47,150
2499159.05,1119158.97,150
2499163.49,1119163.37,150
2499176.82,1119178.68,150
2499185.77,1119188.39,150
2499189.85,1119192.74,150
2499193.78,1119197.36,150
2499189.84,1119202.07,150
2499186.53,1119197.93,150
2499182.28,1119193.76,150
2499178.23,1119197.71,150
2499182.44,1119202.5,150
2499181.1,1119209.66,150
2499184.9,1119214.12,150
2499189.92,1119210.8,150
2499186.04,1119206.61,150
2499194.01,1119206.71,150
2499198.02,1119202.33,150
2499127.98,1119137.16,150
2499134.62,1119133.95,150
2505237.13,1122214.61,140
2505242.56,1122220.48,140
2503215.22,1119794.49,210
2503208.41,1119789.46,214
2503207.66,1119784.72,214
2503202.34,1119785.16,200
2503202.65,1119789.96,217
2503203.53,1119795.79,214
2503209.17,1119794.84,214
2503204.1,1119801.54,214
2503209.66,1119800.26,214
2503213.82,1119789.56,203
2505679.96,1122112.45,182
2499279.75,1119143.85,150
2499274.21,1119147.59,150
2499270.19,1119151.53,150
2499264.96,1119155.46,150
2499259.91,1119152.41,150
2499269.31,1119145.12,150
2499273.77,1119141.49,150
2499267.98,1119138.35,150
2499263.11,1119141.93,150
2499258.59,1119146.04,150
2499254.17,1119149.55,150
2499253.63,1119166.06,150
2499244.61,1119173.6,150
2499239.85,1119177.67,150
