,X,Y,PROFONDEUR,lon,lat
1541,2505694.88,1124701.26,,6.2153742822829905,46.26710470164752
1542,2505687.54,1124704.74,,6.215278382703734,46.26713497158531
1543,2505681.31,1124708.07,,6.215196909349441,46.26716404819594
1544,2505673.08,1124712.55,,6.2150892642871485,46.26720318747084
1545,2505665.21,1124717.09,,6.2149862758767505,46.26724291689602
1546,2493903.77,1116995.58,,6.064209817967694,46.196038483665504
1547,2493907.21,1116991.21,,6.0642553657525795,46.19599972177667
1548,2493892.39,1117011.06,,6.064058906487946,46.196175918222615
1549,2493911.04,1116986.05,,6.064306144240627,46.195953915978514
1550,2493900.19,1117000.87,,6.064162247773081,46.19608549812019
1551,2493896.62,1117005.9,,6.064114866102683,46.1961301756374
1552,2494407.66,1120598.05,,6.069920973385866,46.22851926613319
1553,2494959.33,1114228.59,,6.078503681492769,46.17131726366019
1554,2494955.43,1114234.21,,6.078451928274143,46.171367202189465
1555,2505694.87,1122914.55,,6.215735907250512,46.251034096403096
1556,2505685.47,1122912.17,,6.215614513548933,46.25101136945209
1557,2505682.56,1122903.44,,6.215578551293935,46.250932438626656
1558,2505692.88,1122906.75,,6.215711684781316,46.250963659707914
1559,2503837.93,1116274.91,,6.193028773302563,46.191050757401776
1560,2503843.66,1116282.89,,6.193101340004979,46.19112335266673
1561,2503851.88,1116276.74,,6.193209064845994,46.19106921229818
1562,2503846.11,1116268.76,,6.193135980027192,46.19099661138227
1563,2503860.13,1116270.62,,6.193317171829855,46.19101534595049
1564,2503854.39,1116262.68,,6.1932444672364095,46.190943109173006
1565,2503865.94,1116278.57,,6.1933907811376425,46.19108768263475
1566,2486661.87,1111935.93,,5.971642037414294,46.14935019560255
1567,2486667.43,1111942.51,,5.97171239273401,46.14941031252029
1568,2486672.99,1111949.02,,5.971782765170127,46.14946979981436
1569,2504306.25,1134092.93,,6.195431729996779,46.351381589829074
1570,2504299.24,1134097.03,,6.195339829128222,46.351417466612354
1571,2504310.88,1134100.33,,6.1954903454723755,46.351448810039884
1572,2505369.03,1116884.08,313.0,6.212734866857472,46.19674717529645
1573,2505353.41,1116884.66,313.0,6.212532430566669,46.19675019319947
1574,2505334.77,1116881.45,313.0,6.212291646109935,46.1967186963577
1575,2505325.77,1116868.4,313.0,6.2121777198227415,46.19660005083589
1576,2505351.67,1116866.4,313.0,6.212513595230685,46.19658570877416
1577,2505367.74,1116866.01,313.0,6.21272182102284,46.19658446320322
1578,2505324.31,1123891.13,,6.210732947139257,46.25976582291951
1579,2498811.24,1125382.86,,6.125951726055197,46.27223314133226
